"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 03","46.19","44.29","47.18","44.21","54.16M","0.68%"
"2024- 04- 02","45.88","45.83","46.15","44.38","57.41M","-4.40%"
"2024- 04- 01","47.99","46.73","49.99","46.72","63.27M","3.14%"
"2024- 03- 28","46.53","46.31","47.30","46.01","45.69M","0.06%"
"2024- 03- 27","46.50","46.23","46.54","43.91","56.64M","3.26%"
"2024- 03- 26","45.03","46.82","47.37","44.88","55.70M","-1.87%"
"2024- 03- 25","45.89","44.50","47.17","44.14","54.92M","-1.16%"
"2024- 03- 22","46.43","45.68","47.50","45.25","57.15M","0.26%"
"2024- 03- 21","46.31","47.62","48.76","46.06","82.50M","6.71%"
"2024- 03- 20","43.40","41.59","43.80","40.62","79.40M","4.78%"
"2024- 03- 19","41.42","40.71","41.95","38.94","83.45M","-2.63%"
"2024- 03- 18","42.54","44.70","45.26","42.33","65.14M","-0.47%"
"2024- 03- 15","42.74","41.81","44.14","41.62","72.50M","-1.81%"
"2024- 03- 14","43.53","45.50","46.34","42.18","77.82M","-5.53%"
"2024- 03- 13","46.08","47.90","48.04","45.09","79.51M","-7.06%"
"2024- 03- 12","49.58","48.44","49.69","46.00","89.51M","6.01%"
"2024- 03- 11","46.77","46.94","47.79","45.10","76.46M","-4.45%"
"2024- 03- 08","48.95","55.94","56.99","48.80","129.04M","-11.51%"
"2024- 03- 07","55.32","52.15","56.06","52.10","91.59M","10.16%"
"2024- 03- 06","50.22","49.76","51.85","48.72","91.76M","7.22%"
"2024- 03- 05","46.84","48.01","49.00","45.26","76.84M","-5.89%"
"2024- 03- 04","49.77","50.00","51.41","49.00","81.26M","2.98%"
"2024- 03- 01","48.33","44.40","48.95","44.24","90.62M","12.82%"
"2024- 02- 29","42.84","41.21","43.13","40.77","67.43M","7.64%"
"2024- 02- 28","39.80","39.74","40.50","39.15","46.28M","-3.19%"
"2024- 02- 27","41.11","41.81","42.16","40.78","48.13M","-0.24%"
"2024- 02- 26","41.21","41.22","41.80","40.40","49.48M","2.59%"
"2024- 02- 23","40.17","42.14","42.68","39.41","68.43M","-3.02%"
"2024- 02- 22","41.42","40.45","42.05","39.87","96.87M","14.61%"
"2024- 02- 21","36.14","35.11","36.15","34.58","65.48M","-0.77%"
"2024- 02- 20","36.42","37.24","37.67","34.66","80.98M","-4.98%"
"2024- 02- 16","38.33","39.84","40.78","37.97","77.15M","-1.99%"
"2024- 02- 15","39.11","40.00","40.12","38.50","60.94M","-0.03%"
"2024- 02- 14","39.12","38.14","39.26","37.61","62.42M","6.19%"
"2024- 02- 13","36.84","35.71","37.96","35.16","86.49M","-5.90%"
"2024- 02- 12","39.15","39.41","41.33","38.65","72.21M","-0.43%"
"2024- 02- 09","39.32","37.86","39.54","37.17","65.86M","5.84%"
"2024- 02- 08","37.15","35.74","37.95","35.64","59.52M","5.06%"
"2024- 02- 07","35.36","34.44","35.49","33.46","63.26M","4.52%"
"2024- 02- 06","33.83","35.37","35.48","32.66","62.83M","-3.62%"
"2024- 02- 05","35.10","34.55","35.60","33.42","65.90M","4.31%"
"2024- 02- 02","33.65","32.35","33.92","32.17","67.83M","3.70%"
"2024- 02- 01","32.45","32.28","32.72","31.20","60.67M","1.09%"
"2024- 01- 31","32.10","31.92","33.87","31.14","85.89M","-4.26%"
"2024- 01- 30","33.53","34.56","35.13","33.05","55.77M","-4.31%"
"2024- 01- 29","35.04","34.23","35.13","33.51","54.40M","3.03%"
